num_feat1,num_feat2,num_feat3,cat_feat1,cat_feat2,cat_feat3,num_feat4,num_feat5,Result
2,4.5,3,0,x4,y5,4,1,1
2,4.5,3,0,x6,y1,5,0,0
2,4.5,3,0,x6,y8,5,0,0
2,4.5,3,0,x4,y2,5,1,1
2,4.5,3,0,x5,y10,0,0,0
2,4.5,3,0,x2,y2,5,2,1
2,4.5,3,0,x10,y9,1,0,0
2,4.5,3,1,x1,y9,5,2,1
2,4.5,3,1,x10,y3,2,0,0
3,4.333333333333333,3,0,x11,y6,5,3,1
3,4.333333333333333,3,0,x4,y9,3,0,0
2,5.0,2,0,x6,y1,5,2,1
2,5.0,2,0,x8,y6,4,0,0
2,4.5,3,0,x1,y7,5,1,1
4,5.75,8,0,x10,y1,5,1,0
4,6.0,9,0,x6,y6,5,2,1
3,3.6666666666666665,1,0,x1,y8,5,3,1
2,7.5,7,0,x10,y4,4,1,1
2,7.5,7,0,x7,y7,0,0,0
2,2.0,2,0,x5,y4,5,1,1
